Item,Image,Cost,Role,Type,Tier,Physical Power,Magical Power,Physical Penetration,Magical Penetration,Critical Chance,Attack Speed,Lifesteal,Magical Lifesteal,Omnivamp,Physical Armor,Magical Armor,Tenacity,Max Health,Max Mana,Health Regeneration,Mana Regeneration,Heal & Shield Power,Ability Haste,Movement Speed,Gold Per Second,Ability 1,Ability 2,Ability 3,No Condition,Ability Hits on Heroes,After Level 6,After taking damage,Against Eroded Heroes,Against Heroes below 40% Health,Against Minions,Based on Critical Strike Chance,Based on Enemy Bonus Armor,Buff yourself and nearby Heroes to,Burn nearby Enemy Units,Damage Heroes from afar with Abilities,Damaging Abilities and Basic Attacks,Enhance your Ultimate Ability,Every 8s,For each Level,For every 10% Missing Health,"Gain Effects, based on your location",On Ability Cast,On Ability Hits to Heroes or Monsters and Killing Units,On Basic Attacking Heroes,On Basic Attacks,On Dashing or Leaping,"On Dashing, Leaping or exiting Camo",On Dealing Magical Damage,On Dealing Physical Damage,On Healing or Shielding Heroes,On Healing or Shielding an Ally,On Immobilizing Heroes,On Immobilizing an Enemy,On Killing Monsters,On Killing Units,On Killing an Enemy Unit,On Melee Heroes only,On Overhealing from Lifesteal,On Ranged Basic Attack,On Successful Basic Attacks,On Successful Basic Attacks to Heroes or Monsters and Killing Units,On Takedown,On any damage instance towards an Enemy,On being Immobilized,On being hit by a Basic Attack,On casting your Ultimate,On crossing a Fog Wall,On damaging Heroes or Monsters and Unit Kills,On damaging Monsters,On damaging a Hero,On damaging a Hero below 40% Health,On damaging a Shielded Target,On dealing Ability Damage,On dealing Ability Damage to Heroes or Monsters and Unit Kills,On dealing Ability Damage to a Blighted Target,On dealing Ability Damage to a Blighted Unit,On dealing Ability Damage to a Hero,On dealing Magical Damage to a Hero,On dealing Physical Damage,On dealing damage,On dealing damage to Heroes,On dealing damage to Heroes or Monsters,On dealing damage to a Marked Hero,On going below 40% Health,On standing still and unharmed for 2s,On taking Magical Damage,On taking Magical Damage from a Hero,On taking a Hero below 5% Health,On using Sacrificial Strike on a Hero,Once every second,Upon Critically Striking,Upon Executing 25 Minions,Upon damaging an Eroded Hero,Upon triggering Arcane Salvo,When Heatwave Damages a Target,When at 4 stacks of Cyclone,When dealing or receiving damage,When hit by Basic Attacks,While Camouflaged,While Veil is active,While Vital Shield is ready,While below 40% Health,While moving,While moving or casting Abilities,While moving or landing Basic Attacks,While near Enemy Heroes,While near an Ally Hero,While out of combat,While within 475u of an Enemy Unit
Warlock Crest,/images/items/Warlock-Crest.webp,0,Mage,Mage,Crest,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,Legendary Occultist - On dealing Ability Damage to Heroes or Monsters and Unit Kills: • Restore 3 Health (4 for Kills).• After restoring 200 Health:• Enter Base to Evolve into a Legendary Crest.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Legendary Occultist - On dealing Ability Damage to Heroes or Monsters and Unit Kills: • Restore 3 Health (4 for Kills).• After restoring 200 Health:• Enter Base to Evolve into a Legendary Crest.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Typhoon,/images/items/Typhoon.webp,0,Mage,Mobility,Crest,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,Cyclone - On Successful Basic Attacks: ‚ Gain a stack of Cyclone On-Hit for 3s.‚ Each stack increases your Attack Speed by 5 (+4% Magical Power)%.‚ Stacks up to 4 times.,Mirage - 20s CD - When at 4 stacks of Cyclone: ‚ Dash a short distance.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Cyclone - On Successful Basic Attacks: ‚ Gain a stack of Cyclone On-Hit for 3s.‚ Each stack increases your Attack Speed by 5 (+4% Magical Power)%.‚ Stacks up to 4 times.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Mirage - 20s CD - When at 4 stacks of Cyclone: ‚ Dash a short distance.,0,0,0,0,0,0,0,0,0,0,0,0,0
Time-Flux Band,/images/items/Time-Backing-Bracelet.webp,0,Mage,Reduced Cooldowns,Crest,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200.0,0.0,0.0,0.0,8.0,0.0,0.0,Turntable - 120s CD:  Mark your current location. Gain 15% Movement Speed for 4s.After 4s:  Teleport to the Mark Reset your Basic Ability Cooldowns  Gain 0.2% of missing Mana.,0,0,Turntable - 120s CD:  Mark your current location. Gain 15% Movement Speed for 4s.After 4s:  Teleport to the Mark Reset your Basic Ability Cooldowns  Gain 0.2% of missing Mana.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tempest,/images/items/Tempest.webp,0,Mage,Sustained Fighting,Crest,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,Overcharge - 90s CD:  Deal 15 (+15% Magical Power) Damage to 3 nearby Heroes every second for 7s. Heal equal to 60% of the damage dealt. Additional hits against the same Target deal 30% Damage.,0,0,Overcharge - 90s CD:  Deal 15 (+15% Magical Power) Damage to 3 nearby Heroes every second for 7s. Heal equal to 60% of the damage dealt. Additional hits against the same Target deal 30% Damage.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Soulbearer,/images/items/Soulbearer.webp,0,Mage,Sustained Fighting,Crest,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200.0,0.0,0.0,0.0,8.0,0.0,0.0,Anima - 120s CD: ‚ Gain a (+25% Max Mana) Shield for 8s.‚ Gain 20% Magical Lifesteal and 10% Movement Speed for 8s.,0,0,Anima - 120s CD: ‚ Gain a (+25% Max Mana) Shield for 8s.‚ Gain 20% Magical Lifesteal and 10% Movement Speed for 8s.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Occult Crest,/images/items/Occult-Crest.webp,0,Mage,Mage,Crest,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,Occultist - On dealing Ability Damage to Heroes or Monsters and Unit Kills: • Restore 3 Health (4 for Kills).• After restoring 200 Health:• Evolves into Warlock Crest.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Occultist - On dealing Ability Damage to Heroes or Monsters and Unit Kills: • Restore 3 Health (4 for Kills).• After restoring 200 Health:• Evolves into Warlock Crest.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Obelisk,/images/items/Obelisk.webp,0,Mage,Burst,Crest,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,"Condemn - 20s CD: ‚ Enhanced Basic Attack.‚ Deal 50 (+12% Magical Power) Damage.‚ If the Target dies within 3s, collect a Soul.‚ Damage increases by 8 for each Soul collected.",Soul Stealer: ‚ Souls collected grant 1 Magical Power.,0,Soul Stealer: ‚ Souls collected grant 1 Magical Power.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Magician Crest,/images/items/Magician-Crest.webp,0,Mage,Mage,Crest,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.0,0.0,0.0,0.0,4.0,0.0,0.0,Magician - On Ability Hits to Heroes or Monsters and Killing Units: • Restore 4 Mana (5 for Kills).• After restoring 300 Mana:• Evolves into Wizard Crest.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Magician - On Ability Hits to Heroes or Monsters and Killing Units: • Restore 4 Mana (5 for Kills).• After restoring 300 Mana:• Evolves into Wizard Crest.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Epoch,/images/items/Epoch.webp,0,Mage,Stasis,Crest,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200.0,0.0,0.0,0.0,8.0,0.0,0.0,Stasis Device - 150s CD: ‚ Enter Stasis for 2.5s.,0,0,Stasis Device - 150s CD: ‚ Enter Stasis for 2.5s.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Warrior Crest,/images/items/Warrior-Crest.webp,0,Fighter,Fighter,Crest,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Warrior - On damaging Heroes or Monsters and Unit Kills: • Restore (+8% Physical Power) Health over 10s.• After restoring 200 Health:• Evolves into Champion Crest.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Warrior - On damaging Heroes or Monsters and Unit Kills: • Restore (+8% Physical Power) Health over 10s.• After restoring 200 Health:• Evolves into Champion Crest.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Iceskorn Talons,/images/items/Iceskorn-Talons.webp,0,Fighter,Dueling,Crest,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Glacial Colosseum - 45s CD: ‚ Create an Ice Sheet around you for 8s.‚ Allies on the sheet gain 12% Physical Power for 3s.‚ They also gain 12% Movement Speed for 3s.‚ Enemy Units on the sheet are Slowed by 10%.,0,0,Glacial Colosseum - 45s CD: ‚ Create an Ice Sheet around you for 8s.‚ Allies on the sheet gain 12% Physical Power for 3s.‚ They also gain 12% Movement Speed for 3s.‚ Enemy Units on the sheet are Slowed by 10%.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Champion Crest,/images/items/Champion-Crest.webp,0,Fighter,Fighter,Crest,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,75.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Legendary Warrior - On damaging Heroes or Monsters and Unit Kills: • Restore (+8% Physical Power) Health over 10s.• After restoring 200 Health:• Enter Base to Evolve into a Legendary Crest.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Legendary Warrior - On damaging Heroes or Monsters and Unit Kills: • Restore (+8% Physical Power) Health over 10s.• After restoring 200 Health:• Enter Base to Evolve into a Legendary Crest.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brutallax,/images/items/Brutallax.webp,0,Fighter,Cleanse,Crest,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Purifying Rage - 150s CD: • Cleanse all Debuffs.• Gain 60% Tenacity for 8s.• Successful Basic Attacks extend this duration by 0.5s On-Hit.,0,0,Purifying Rage - 150s CD: • Cleanse all Debuffs.• Gain 60% Tenacity for 8s.• Successful Basic Attacks extend this duration by 0.5s On-Hit.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sharpshooter Crest,/images/items/Sharpshooter-Crest.webp,0,Sharpshooter,Sharpshooter,Crest,5.0,0.0,0.0,0.0,0.0,10.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Legendary Marksman - On Successful Basic Attacks to Heroes or Monsters and Killing Units: • Restore 1 Health (3 for Kills).• After restoring 150 Health:• Enter Base to Evolve into a Legendary Crest.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Legendary Marksman - On Successful Basic Attacks to Heroes or Monsters and Killing Units: • Restore 1 Health (3 for Kills).• After restoring 150 Health:• Enter Base to Evolve into a Legendary Crest.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pacifier,/images/items/Pacifier.webp,0,Sharpshooter,Multi Kill,Crest,10.0,0.0,0.0,0.0,0.0,15.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Adrenalize - 120s CD: ‚ Dash a short distance.‚ Empower your next Physical Damage Instance within 3s.‚ Deals 30 (+25% Physical Power) Damage.‚ Increased by 2.5x against Targets below 40% Max Health.‚ Killing a Hero within 3s allows Adrenalize to be recast for 6s.,0,0,Adrenalize - 120s CD: ‚ Dash a short distance.‚ Empower your next Physical Damage Instance within 3s.‚ Deals 30 (+25% Physical Power) Damage.‚ Increased by 2.5x against Targets below 40% Max Health.‚ Killing a Hero within 3s allows Adrenalize to be recast for 6s.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Marksman Crest,/images/items/Marksman-Crest.webp,0,Sharpshooter,Sharpshooter,Crest,3.0,0.0,0.0,0.0,0.0,5.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Marksman - On Successful Basic Attacks to Heroes and Monsters or Unit Kills: • Restore 1 Health (3 for Kills).• After restoring 150 Health:• Evolves into Sharpshooter Crest.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Marksman - On Successful Basic Attacks to Heroes and Monsters or Unit Kills: • Restore 1 Health (3 for Kills).• After restoring 150 Health:• Evolves into Sharpshooter Crest.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Liberator,/images/items/Liberator.webp,0,Sharpshooter,Cleanse,Crest,10.0,0.0,0.0,0.0,0.0,15.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Purifying Guard - 165s CD: ‚ Cleanse all Debuffs.‚ Gain a 80 (+100% Physical Power) Shield for 2.5s.,0,0,Purifying Guard - 165s CD: ‚ Cleanse all Debuffs.‚ Gain a 80 (+100% Physical Power) Shield for 2.5s.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Eviscerator,/images/items/Eviscerator.webp,0,Sharpshooter,Anti Tank,Crest,10.0,0.0,0.0,0.0,0.0,15.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Rending Strikes - 60s CD: ‚ Gain 15% Attack Speed for 6s.‚ Empower your Basic Attacks to deal (+15% Physical Power) Damage On-Hit for 6s.,0,0,Rending Strikes - 60s CD: ‚ Gain 15% Attack Speed for 6s.‚ Empower your Basic Attacks to deal (+15% Physical Power) Damage On-Hit for 6s.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Witchstalker,/images/items/Witchstalker.webp,0,Assassin,Cleanse,Crest,12.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,Purifying Strike - 150s CD:  Cleanse all Debuffs. Empower your next Damage Instance within 8s. Deal 4% Target Max Health as Damage. Double the Damage if a Debuff is Cleansed. Heal equal to the Damage dealt.,0,0,Purifying Strike - 150s CD:  Cleanse all Debuffs. Empower your next Damage Instance within 8s. Deal 4% Target Max Health as Damage. Double the Damage if a Debuff is Cleansed. Heal equal to the Damage dealt.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rogue Crest,/images/items/Rogue-Crest.webp,0,Assassin,Assassin,Crest,3.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,Rogue - On Ability Hits to Heroes or Monsters and Unit Kills: • Restore 3 Health (4 for Kills).• After restoring 200 Health:• Evolves into Assassin Crest.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Rogue - On Ability Hits to Heroes or Monsters and Unit Kills: • Restore 3 Health (4 for Kills).• After restoring 200 Health:• Evolves into Assassin Crest.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ortus,/images/items/Ortus.webp,0,Assassin,Multi Kill,Crest,12.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,Limit Breaker - 90s CD: ‚ Gain 15% Movement Speed and 10% Physical Power for 8s.‚ Takedowns within 8s permanently grant 2 Physical Power and refreshes the duration.,0,0,Limit Breaker - 90s CD: ‚ Gain 15% Movement Speed and 10% Physical Power for 8s.‚ Takedowns within 8s permanently grant 2 Physical Power and refreshes the duration.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nex,/images/items/Nex.webp,0,Assassin,Burst,Crest,12.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,Reap - 90s CD - Dash a short distance and: ‚ Deal (+100% Physical Power) Damage to nearby Heroes.‚ Increased with Sow charge.‚ Slows by 80% for 1s.,Sow - On damaging Heroes: ‚ Store 15% of the damage as Sow.‚ 7.5% for AoE Abilities.‚ Sow is stored for 3.5s.,0,Reap - 90s CD - Dash a short distance and: ‚ Deal (+100% Physical Power) Damage to nearby Heroes.‚ Increased with Sow charge.‚ Slows by 80% for 1s.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Sow - On damaging Heroes: ‚ Store 15% of the damage as Sow.‚ 7.5% for AoE Abilities.‚ Sow is stored for 3.5s.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Assassin Crest,/images/items/Assassin-Crest.webp,0,Assassin,Assassin,Crest,6.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,Legendary Rogue - On Ability Hits to Heroes or Monsters and Killing Units: • Restore 3 Health (4 for Kills).• After restoring 200 Health:• Enter Base to Evolve into a Legendary Crest.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Legendary Rogue - On Ability Hits to Heroes or Monsters and Killing Units: • Restore 3 Health (4 for Kills).• After restoring 200 Health:• Enter Base to Evolve into a Legendary Crest.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Refillable Potion,/images/items/Refillable-Potion.webp,0,None,None,Crest,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Consume: • Regenerate 150-330 Health over 15s.• Based on Level.• Max Charges: 2.• Charges are restored upon entering Base.,0,0,Consume: • Regenerate 150-330 Health over 15s.• Based on Level.• Max Charges: 2.• Charges are restored upon entering Base.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Divine Potion,/images/items/Divine-Potion.webp,250,None,Tier 3,Tier 3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Upgrade: • Permanently upgrades your Refillable Potion.,Consume: • Regenerate 180-420 Health and 80-135 Mana over 15s.• Based on Level.• Max Charges: 2.• Charges are restored upon entering Base.,0,Consume: • Regenerate 180-420 Health and 80-135 Mana over 15s.• Based on Level.• Max Charges: 2.• Charges are restored upon entering Base.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pendant,/images/items/Pendant.webp,350,None,Utility,Tier 1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Wraps,/images/items/Wraps.webp,350,None,Tier 1,Tier 1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Vitality Beads,/images/items/Vitality-Beads.webp,350,None,Tier 1,Tier 1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tunic,/images/items/Tunic.webp,350,None,Tier 1,Tier 1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
